client_id,age,situation_familiale,statut_logement,type_logement,surface_m2,region,patrimoine_estime,revenu_annuel,assureur,garanties,exclusions,nombre_garanties,montant_couvert,cotisation_annuelle,sinistres_déclarés,dernier_sinistre,résiliation_précédente,paiements_en_retard
CLT00016,35,Célibataire,Propriétaire,Appartement,72,Provence-Alpes-Côte d'Azur,23040,41822,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Catastrophes naturelles', 'Attentats matériels']","[""Dégât des eaux, gel, refoulement d'égout"", ""Protection corporelle de l'assuré""]",3,20143,741,2,2025-04-28,Non,Non
CLT00017,25,Marié(e),Propriétaire,Appartement,57,Île-de-France,18810,37052,Crédit Agricole Assurances (Pacifica),['Catastrophes naturelles'],"['Dommages électriques, climatiques, inondation', 'Incendie, foudre, explosion, vandalisme', ""Protection corporelle de l'assuré""]",1,14006,440,2,2025-05-15,Non,Non
CLT00018,77,Célibataire,Locataire,Maison individuelle isolée,193,Provence-Alpes-Côte d'Azur,61760,33746,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","['Bris de glace, véranda, capteurs solaires', 'Tempête, grêle, neige']",3,36776,1284,3,2025-01-30,Non,Non
CLT00019,71,En couple,Propriétaire,Maison mitoyenne,140,Nouvelle-Aquitaine,43400,27237,Groupe des Assurances du Crédit Mutuel,"['Attentats matériels', 'Responsabilité civile']","[""Protection corporelle de l'assuré""]",2,32414,1262,2,2023-12-29,Non,Non
CLT00020,44,Célibataire,Propriétaire,Maison mitoyenne,115,Nouvelle-Aquitaine,35650,34954,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile']","['Tempête, grêle, neige']",2,33235,1339,3,2025-05-22,Non,Non
CLT00021,35,En couple,Propriétaire,Appartement,48,Provence-Alpes-Côte d'Azur,15360,24111,Crédit Agricole Assurances (Pacifica),"['Catastrophes naturelles', 'Responsabilité civile']","[""Dégât des eaux, gel, refoulement d'égout"", 'Bris de glace, véranda, capteurs solaires']",2,14894,559,3,2024-09-20,Non,Non
CLT00022,48,Marié(e),Locataire,Appartement,62,Nouvelle-Aquitaine,19220,24597,Matmut,['Responsabilité civile'],"['Tempête, grêle, neige']",1,14457,309,3,2024-10-29,Non,Non
CLT00023,39,En couple,Propriétaire,Maison individuelle isolée,195,Occitanie,54600,43041,"Covéa (MMA, MAAF, GMF)",['Catastrophes naturelles'],"['Bris de glace, véranda, capteurs solaires', 'Dommages électriques, climatiques, inondation', ""Protection corporelle de l'assuré""]",1,43463,1946,3,2024-10-07,Non,Non
CLT00024,58,Divorcé(e),Locataire,Maison mitoyenne,99,Auvergne-Rhône-Alpes,29700,45592,Crédit Agricole Assurances (Pacifica),"['Attentats matériels', 'Catastrophes naturelles', 'Responsabilité civile']","['Tempête, grêle, neige', 'Assistance']",3,26568,658,3,2022-08-07,Non,Oui
CLT00025,37,Célibataire,Locataire,Maison mitoyenne,170,Nouvelle-Aquitaine,52700,35900,Macif (Aéma Groupe),"['Catastrophes naturelles', 'Attentats matériels']","[""Dégât des eaux, gel, refoulement d'égout""]",2,43493,766,2,2022-09-18,Non,Non
CLT00026,34,Célibataire,Locataire,Appartement,75,Nouvelle-Aquitaine,23250,43662,Macif (Aéma Groupe),"['Catastrophes naturelles', 'Responsabilité civile', 'Attentats matériels']","['Dommages électriques, climatiques, inondation']",3,13800,386,2,2025-03-06,Oui,Non
CLT00027,47,Marié(e),Propriétaire,Maison individuelle isolée,102,Provence-Alpes-Côte d'Azur,32640,49870,Crédit Agricole Assurances (Pacifica),"['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","[""Dégât des eaux, gel, refoulement d'égout"", 'Assistance']",3,26122,1357,3,2023-08-30,Non,Non
CLT00028,24,En couple,Locataire,Appartement,62,Île-de-France,20460,30279,Crédit Agricole Assurances (Pacifica),['Attentats matériels'],"['Dommages électriques, climatiques, inondation']",1,17835,239,2,2024-02-16,Non,Oui
CLT00029,72,Célibataire,Locataire,Appartement,78,Nouvelle-Aquitaine,24180,23626,Groupe des Assurances du Crédit Mutuel,"['Attentats matériels', 'Catastrophes naturelles']","[""Protection corporelle de l'assuré""]",2,20115,351,2,2025-05-25,Non,Non
CLT00030,23,Célibataire,Propriétaire,Appartement,94,Provence-Alpes-Côte d'Azur,30080,41654,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Attentats matériels']","['Vol', ""Protection corporelle de l'assuré""]",2,29508,1094,3,2023-08-26,Non,Non
CLT00031,42,Célibataire,Locataire,Maison mitoyenne,200,Île-de-France,66000,29895,"Covéa (MMA, MAAF, GMF)",['Responsabilité civile'],"['Incendie, foudre, explosion, vandalisme', 'Assistance', ""Dégât des eaux, gel, refoulement d'égout""]",1,32846,998,3,2022-11-27,Non,Non
CLT00032,83,Célibataire,Locataire,Maison individuelle isolée,171,Occitanie,47880,25685,Groupe des Assurances du Crédit Mutuel,"['Responsabilité civile', 'Catastrophes naturelles', 'Attentats matériels']","['Bris de glace, véranda, capteurs solaires']",3,38425,880,2,2023-12-25,Non,Non
CLT00033,41,Célibataire,Locataire,Appartement,82,Nouvelle-Aquitaine,25419,38661,Macif (Aéma Groupe),"['Attentats matériels', 'Responsabilité civile']","['Incendie, foudre, explosion, vandalisme', ""Dégât des eaux, gel, refoulement d'égout"", ""Protection corporelle de l'assuré""]",2,5000,477,3,2023-11-12,Oui,Non
CLT00034,41,Divorcé(e),Propriétaire,Maison mitoyenne,125,Nouvelle-Aquitaine,38750,24299,Crédit Agricole Assurances (Pacifica),"['Responsabilité civile', 'Attentats matériels', 'Catastrophes naturelles']",['Assistance'],3,12114,1664,3,2022-09-29,Non,Non
CLT00035,55,Marié(e),Propriétaire,Maison individuelle isolée,116,Auvergne-Rhône-Alpes,34800,22824,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Attentats matériels', 'Catastrophes naturelles']","['Dommages électriques, climatiques, inondation', 'Bris de glace, véranda, capteurs solaires', ""Dégât des eaux, gel, refoulement d'égout""]",3,33686,1544,3,2022-10-03,Non,Non
CLT00036,58,Marié(e),Propriétaire,Maison individuelle isolée,115,Occitanie,32200,39512,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Catastrophes naturelles', 'Attentats matériels']","['Incendie, foudre, explosion, vandalisme', ""Protection corporelle de l'assuré"", 'Tempête, grêle, neige']",3,32181,1530,3,2023-05-18,Non,Non
CLT00037,73,Célibataire,Locataire,Maison individuelle isolée,114,Provence-Alpes-Côte d'Azur,36480,26323,Groupe des Assurances du Crédit Mutuel,"['Catastrophes naturelles', 'Responsabilité civile']","['Vol', ""Dégât des eaux, gel, refoulement d'égout""]",2,30889,513,2,2024-08-17,Oui,Non
CLT00038,84,Célibataire,Locataire,Maison individuelle isolée,90,Provence-Alpes-Côte d'Azur,28800,39200,Macif (Aéma Groupe),['Catastrophes naturelles'],"['Vol', 'Dommages électriques, climatiques, inondation', 'Incendie, foudre, explosion, vandalisme']",1,9351,259,1,2023-05-23,Oui,Non
CLT00039,62,Célibataire,Propriétaire,Maison individuelle isolée,110,Auvergne-Rhône-Alpes,33000,52058,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Responsabilité civile']","['Tempête, grêle, neige', ""Dégât des eaux, gel, refoulement d'égout"", 'Dommages électriques, climatiques, inondation']",2,31399,1281,3,2023-05-20,Non,Non
CLT00040,70,En couple,Locataire,Maison individuelle isolée,160,Auvergne-Rhône-Alpes,48000,24856,Matmut,"['Responsabilité civile', 'Catastrophes naturelles']","['Assistance', ""Dégât des eaux, gel, refoulement d'égout"", 'Incendie, foudre, explosion, vandalisme']",2,9605,721,2,2025-02-24,Non,Oui
CLT00041,83,Célibataire,Locataire,Maison mitoyenne,143,Île-de-France,47190,21745,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","[""Protection corporelle de l'assuré"", ""Dégât des eaux, gel, refoulement d'égout"", 'Incendie, foudre, explosion, vandalisme']",3,45572,736,2,2024-12-03,Non,Oui
CLT00042,65,Divorcé(e),Propriétaire,Maison individuelle isolée,188,Occitanie,52640,48120,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Responsabilité civile']","['Incendie, foudre, explosion, vandalisme', 'Vol']",2,47868,1695,2,2023-01-23,Non,Non
CLT00043,67,Célibataire,Locataire,Maison individuelle isolée,177,Occitanie,49560,34719,Macif (Aéma Groupe),"['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","['Assistance', 'Tempête, grêle, neige', 'Dommages électriques, climatiques, inondation']",3,16441,911,2,2023-11-25,Non,Oui
CLT00044,38,En couple,Locataire,Maison individuelle isolée,134,Auvergne-Rhône-Alpes,40199,23902,Matmut,"['Responsabilité civile', 'Catastrophes naturelles']","[""Protection corporelle de l'assuré"", ""Dégât des eaux, gel, refoulement d'égout"", 'Dommages électriques, climatiques, inondation']",2,39513,604,2,2022-09-29,Oui,Non
CLT00045,24,Célibataire,Locataire,Appartement,93,Île-de-France,30690,22168,Crédit Agricole Assurances (Pacifica),"['Catastrophes naturelles', 'Responsabilité civile', 'Attentats matériels']","['Incendie, foudre, explosion, vandalisme', ""Protection corporelle de l'assuré""]",3,6289,479,2,2024-09-12,Non,Non
CLT00046,72,Veuf(ve),Propriétaire,Maison individuelle isolée,127,Île-de-France,41910,48659,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Attentats matériels', 'Catastrophes naturelles']","['Incendie, foudre, explosion, vandalisme']",3,36294,1308,2,2023-12-06,Non,Non
CLT00047,81,Marié(e),Locataire,Maison individuelle isolée,104,Provence-Alpes-Côte d'Azur,33280,42874,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile']","[""Dégât des eaux, gel, refoulement d'égout"", ""Protection corporelle de l'assuré""]",2,15125,468,2,2023-09-16,Non,Non
CLT00048,18,En couple,Propriétaire,Appartement,50,Nouvelle-Aquitaine,15500,52000,Crédit Agricole Assurances (Pacifica),"['Attentats matériels', 'Catastrophes naturelles']","['Incendie, foudre, explosion, vandalisme', ""Dégât des eaux, gel, refoulement d'égout"", 'Assistance']",2,11375,237,0,,Non,Non
CLT00049,39,En couple,Locataire,Maison individuelle isolée,107,Provence-Alpes-Côte d'Azur,34240,40859,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Catastrophes naturelles']","['Incendie, foudre, explosion, vandalisme', 'Tempête, grêle, neige', 'Assistance']",2,22699,482,2,2025-05-07,Non,Oui
CLT00050,25,En couple,Locataire,Maison individuelle isolée,128,Auvergne-Rhône-Alpes,38400,30671,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Catastrophes naturelles', 'Responsabilité civile']","['Vol', ""Dégât des eaux, gel, refoulement d'égout"", 'Incendie, foudre, explosion, vandalisme']",3,18230,851,3,2024-09-24,Non,Non
CLT00051,70,Célibataire,Propriétaire,Maison individuelle isolée,175,Occitanie,49000,52765,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Attentats matériels']","[""Dégât des eaux, gel, refoulement d'égout"", 'Dommages électriques, climatiques, inondation']",2,43100,2038,3,2024-11-17,Non,Non
CLT00052,65,Divorcé(e),Locataire,Maison mitoyenne,174,Occitanie,48720,51303,Groupe des Assurances du Crédit Mutuel,['Responsabilité civile'],"['Dommages électriques, climatiques, inondation', 'Vol', ""Protection corporelle de l'assuré""]",1,28127,868,3,2023-08-15,Non,Oui
CLT00053,20,En couple,Locataire,Appartement,56,Auvergne-Rhône-Alpes,16800,31678,Groupe des Assurances du Crédit Mutuel,"['Attentats matériels', 'Responsabilité civile']","['Tempête, grêle, neige']",2,5000,326,3,2024-03-01,Oui,Non
CLT00054,60,Marié(e),Propriétaire,Maison individuelle isolée,170,Nouvelle-Aquitaine,52700,50430,Crédit Agricole Assurances (Pacifica),['Responsabilité civile'],"[""Protection corporelle de l'assuré""]",1,47888,1697,3,2023-08-02,Oui,Non
CLT00055,25,Célibataire,Locataire,Appartement,54,Nouvelle-Aquitaine,16740,41706,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Catastrophes naturelles']","[""Protection corporelle de l'assuré"", 'Vol', 'Bris de glace, véranda, capteurs solaires']",2,16138,243,2,2023-04-16,Non,Oui
CLT00056,39,Célibataire,Propriétaire,Appartement,79,Auvergne-Rhône-Alpes,23700,50683,Macif (Aéma Groupe),['Responsabilité civile'],"['Tempête, grêle, neige']",1,19579,610,2,2023-08-22,Non,Non
CLT00057,31,Célibataire,Propriétaire,Appartement,93,Auvergne-Rhône-Alpes,27900,34928,Crédit Agricole Assurances (Pacifica),['Responsabilité civile'],"['Bris de glace, véranda, capteurs solaires', 'Tempête, grêle, neige']",1,5000,928,3,2023-12-16,Non,Oui
CLT00058,58,Marié(e),Propriétaire,Maison individuelle isolée,134,Nouvelle-Aquitaine,41540,27339,Groupe des Assurances du Crédit Mutuel,['Responsabilité civile'],"['Bris de glace, véranda, capteurs solaires']",1,39168,1035,2,2023-09-23,Non,Non
CLT00059,29,Célibataire,Propriétaire,Maison mitoyenne,101,Nouvelle-Aquitaine,31310,27593,"Covéa (MMA, MAAF, GMF)",['Responsabilité civile'],"['Dommages électriques, climatiques, inondation', 'Incendie, foudre, explosion, vandalisme', ""Dégât des eaux, gel, refoulement d'égout""]",1,7166,1008,3,2023-10-23,Non,Non
CLT00060,42,En couple,Propriétaire,Maison individuelle isolée,148,Nouvelle-Aquitaine,45880,26443,Macif (Aéma Groupe),"['Catastrophes naturelles', 'Responsabilité civile']","['Tempête, grêle, neige']",2,15957,1723,3,2024-05-30,Oui,Non
CLT00061,62,En couple,Propriétaire,Maison mitoyenne,152,Nouvelle-Aquitaine,47120,35508,Crédit Agricole Assurances (Pacifica),"['Responsabilité civile', 'Attentats matériels', 'Catastrophes naturelles']","['Assistance', ""Dégât des eaux, gel, refoulement d'égout""]",3,45484,1566,2,2024-10-16,Oui,Oui
CLT00062,49,Célibataire,Locataire,Appartement,59,Nouvelle-Aquitaine,18290,30712,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile']","['Dommages électriques, climatiques, inondation', 'Bris de glace, véranda, capteurs solaires']",2,5199,343,3,2023-06-06,Non,Non
CLT00063,41,Célibataire,Propriétaire,Appartement,85,Nouvelle-Aquitaine,26350,26363,"Covéa (MMA, MAAF, GMF)",['Catastrophes naturelles'],"['Incendie, foudre, explosion, vandalisme', 'Tempête, grêle, neige']",1,14897,656,2,2024-10-04,Non,Non
CLT00064,83,Marié(e),Propriétaire,Maison mitoyenne,174,Occitanie,48720,45675,Crédit Agricole Assurances (Pacifica),"['Catastrophes naturelles', 'Attentats matériels']","['Incendie, foudre, explosion, vandalisme', 'Tempête, grêle, neige', ""Dégât des eaux, gel, refoulement d'égout""]",2,47468,2026,3,2024-09-09,Non,Non
CLT00065,67,Célibataire,Locataire,Maison mitoyenne,172,Nouvelle-Aquitaine,53320,45132,Groupe des Assurances du Crédit Mutuel,"['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","['Bris de glace, véranda, capteurs solaires', ""Protection corporelle de l'assuré""]",3,41857,886,2,2022-07-14,Non,Non
CLT00066,85,Célibataire,Propriétaire,Maison individuelle isolée,163,Auvergne-Rhône-Alpes,48900,27408,Matmut,"['Catastrophes naturelles', 'Attentats matériels']","[""Protection corporelle de l'assuré""]",2,44397,1898,3,2025-01-23,Non,Non
CLT00067,76,Marié(e),Propriétaire,Maison mitoyenne,142,Nouvelle-Aquitaine,44020,27975,Crédit Agricole Assurances (Pacifica),['Responsabilité civile'],"[""Dégât des eaux, gel, refoulement d'égout"", 'Dommages électriques, climatiques, inondation']",1,29309,1417,3,2024-11-20,Oui,Oui
CLT00068,54,Célibataire,Propriétaire,Appartement,77,Île-de-France,25410,23377,Macif (Aéma Groupe),"['Attentats matériels', 'Responsabilité civile']","['Dommages électriques, climatiques, inondation', 'Bris de glace, véranda, capteurs solaires']",2,21509,896,3,2022-10-02,Non,Non
CLT00069,78,Célibataire,Locataire,Maison mitoyenne,176,Occitanie,49280,50040,"Covéa (MMA, MAAF, GMF)","['Responsabilité civile', 'Attentats matériels', 'Catastrophes naturelles']","['Assistance', 'Incendie, foudre, explosion, vandalisme']",3,25076,1171,3,2024-06-03,Non,Non
CLT00070,69,Célibataire,Locataire,Maison individuelle isolée,175,Occitanie,49000,31486,Macif (Aéma Groupe),"['Responsabilité civile', 'Attentats matériels', 'Catastrophes naturelles']","['Dommages électriques, climatiques, inondation']",3,47669,1164,3,2024-05-12,Oui,Non
CLT00071,82,Marié(e),Locataire,Maison individuelle isolée,130,Auvergne-Rhône-Alpes,39000,45074,Crédit Agricole Assurances (Pacifica),"['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","['Bris de glace, véranda, capteurs solaires']",3,35794,669,2,2022-12-10,Non,Non
CLT00072,82,Marié(e),Propriétaire,Maison individuelle isolée,135,Île-de-France,44550,31665,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Responsabilité civile']","[""Dégât des eaux, gel, refoulement d'égout"", 'Tempête, grêle, neige', 'Incendie, foudre, explosion, vandalisme']",2,40536,1217,2,2023-08-16,Oui,Non
CLT00073,54,Divorcé(e),Locataire,Maison individuelle isolée,170,Auvergne-Rhône-Alpes,51000,46764,Macif (Aéma Groupe),['Catastrophes naturelles'],"['Vol', 'Tempête, grêle, neige', ""Dégât des eaux, gel, refoulement d'égout""]",1,39894,848,3,2025-06-09,Non,Oui
CLT00074,29,Veuf(ve),Locataire,Maison mitoyenne,94,Occitanie,26320,27510,Macif (Aéma Groupe),"['Responsabilité civile', 'Catastrophes naturelles']","['Incendie, foudre, explosion, vandalisme', 'Bris de glace, véranda, capteurs solaires', ""Dégât des eaux, gel, refoulement d'égout""]",2,5000,315,1,2025-01-12,Non,Non
CLT00075,25,Célibataire,Locataire,Appartement,55,Auvergne-Rhône-Alpes,16500,37170,"Covéa (MMA, MAAF, GMF)",['Catastrophes naturelles'],['Vol'],1,14409,274,3,2025-01-09,Non,Non
CLT00076,33,Marié(e),Propriétaire,Maison individuelle isolée,131,Provence-Alpes-Côte d'Azur,41920,32513,"Covéa (MMA, MAAF, GMF)",['Catastrophes naturelles'],['Vol'],1,40225,1012,2,2024-10-12,Oui,Non
CLT00077,38,Célibataire,Locataire,Maison individuelle isolée,181,Provence-Alpes-Côte d'Azur,57920,26274,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","['Vol', ""Dégât des eaux, gel, refoulement d'égout""]",3,47135,1204,3,2023-07-19,Non,Non
CLT00078,36,Marié(e),Locataire,Appartement,85,Île-de-France,28050,49454,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile']","['Vol', 'Tempête, grêle, neige']",2,5000,495,3,2023-07-17,Non,Non
CLT00079,60,Célibataire,Propriétaire,Maison mitoyenne,107,Nouvelle-Aquitaine,33170,31293,Groupe des Assurances du Crédit Mutuel,"['Responsabilité civile', 'Catastrophes naturelles', 'Attentats matériels']","['Tempête, grêle, neige', 'Assistance', ""Dégât des eaux, gel, refoulement d'égout""]",3,28174,1102,2,2023-02-27,Oui,Non
CLT00080,22,En couple,Locataire,Appartement,64,Occitanie,17920,38572,Macif (Aéma Groupe),"['Responsabilité civile', 'Attentats matériels']","['Tempête, grêle, neige', 'Assistance', ""Protection corporelle de l'assuré""]",2,5000,372,3,2023-04-16,Non,Non
CLT00081,29,En couple,Locataire,Appartement,48,Île-de-France,15840,46222,Groupe des Assurances du Crédit Mutuel,['Catastrophes naturelles'],"[""Protection corporelle de l'assuré""]",1,5410,185,2,2023-03-01,Non,Non
CLT00082,60,Célibataire,Propriétaire,Maison mitoyenne,142,Auvergne-Rhône-Alpes,42600,33796,"Covéa (MMA, MAAF, GMF)",['Catastrophes naturelles'],"['Incendie, foudre, explosion, vandalisme', 'Bris de glace, véranda, capteurs solaires']",1,30571,1097,2,2023-05-15,Non,Oui
CLT00083,72,Célibataire,Locataire,Maison mitoyenne,168,Provence-Alpes-Côte d'Azur,53760,35115,Groupe des Assurances du Crédit Mutuel,['Catastrophes naturelles'],"['Tempête, grêle, neige', 'Bris de glace, véranda, capteurs solaires', 'Dommages électriques, climatiques, inondation']",1,43369,838,3,2023-02-09,Non,Non
CLT00084,22,Marié(e),Locataire,Appartement,83,Auvergne-Rhône-Alpes,24900,29905,Macif (Aéma Groupe),"['Responsabilité civile', 'Catastrophes naturelles']","['Dommages électriques, climatiques, inondation', 'Incendie, foudre, explosion, vandalisme']",2,21946,483,3,2024-12-20,Non,Non
CLT00085,73,Marié(e),Propriétaire,Maison individuelle isolée,164,Provence-Alpes-Côte d'Azur,52480,28456,"Covéa (MMA, MAAF, GMF)",['Attentats matériels'],"['Tempête, grêle, neige']",1,41146,1267,2,2023-09-24,Non,Non
CLT00086,79,Marié(e),Locataire,Maison individuelle isolée,186,Île-de-France,61380,34310,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","['Tempête, grêle, neige', 'Incendie, foudre, explosion, vandalisme', ""Dégât des eaux, gel, refoulement d'égout""]",3,15452,1238,3,2025-01-19,Non,Non
CLT00087,74,Célibataire,Propriétaire,Maison individuelle isolée,95,Occitanie,26600,32635,Groupe des Assurances du Crédit Mutuel,"['Catastrophes naturelles', 'Responsabilité civile', 'Attentats matériels']","['Dommages électriques, climatiques, inondation']",3,13351,978,2,2022-12-16,Oui,Non
CLT00088,18,Marié(e),Locataire,Appartement,75,Occitanie,21000,36832,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Catastrophes naturelles']","['Bris de glace, véranda, capteurs solaires', 'Dommages électriques, climatiques, inondation', ""Dégât des eaux, gel, refoulement d'égout""]",2,19537,178,0,,Non,Oui
CLT00089,84,Célibataire,Propriétaire,Maison individuelle isolée,198,Île-de-France,65340,48285,"Covéa (MMA, MAAF, GMF)",['Responsabilité civile'],"[""Dégât des eaux, gel, refoulement d'égout"", 'Bris de glace, véranda, capteurs solaires', 'Incendie, foudre, explosion, vandalisme']",1,46940,1530,2,2025-01-15,Non,Non
CLT00090,58,Divorcé(e),Propriétaire,Maison individuelle isolée,152,Auvergne-Rhône-Alpes,45600,37683,Crédit Agricole Assurances (Pacifica),"['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","['Tempête, grêle, neige']",3,44174,2023,3,2023-06-02,Non,Non
CLT00091,59,Célibataire,Propriétaire,Maison individuelle isolée,185,Auvergne-Rhône-Alpes,55500,31611,"Covéa (MMA, MAAF, GMF)","['Catastrophes naturelles', 'Attentats matériels', 'Responsabilité civile']","['Incendie, foudre, explosion, vandalisme', ""Dégât des eaux, gel, refoulement d'égout""]",3,44778,1906,2,2024-03-05,Non,Non
CLT00092,57,Marié(e),Propriétaire,Appartement,58,Auvergne-Rhône-Alpes,17400,44145,Crédit Agricole Assurances (Pacifica),"['Catastrophes naturelles', 'Responsabilité civile']",['Vol'],2,17157,675,3,2024-05-08,Non,Non
CLT00093,39,Marié(e),Propriétaire,Appartement,89,Île-de-France,29370,40187,"Covéa (MMA, MAAF, GMF)","['Attentats matériels', 'Responsabilité civile', 'Catastrophes naturelles']","[""Dégât des eaux, gel, refoulement d'égout""]",3,20311,917,2,2024-03-17,Oui,Non
